,Ratings,Reviews
0,3.1,Very bad product....1 Bluetooth is on and 2 nd Bluetooth not working
1,3.2,It is bad product
2,4.2,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
3,3.9,Best sound and best quality light weight very comfortable and sweat proof aroma I like it
4,3.4,"Pros,
1. Good neckband at a decent price
2. Bass is more than average if you want thumping bass then download ""Subwoofer bass"" App then use it with neckband, it would be killer...
3.Metallic body.
Cons,
1. Wire is short but that is fine enough.
2. Magnet is not so strong yet it can attract the earbuds.
3. Battery backup is of 2 hours of continuos music and 3 hours for call.
Conclusion:-
If your budget is not enough for buying a branded neckband then go out this. It is good enough than ..."
5,4,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.
6,3.5,Nice products
7,4.1,Liked the product. Built quality is not tht good but overall ok. Sound quality is ok. BASS won't be as expected. Battery backup is very good average 2-3 days depend on your use. A decent product with nice feature.
8,4.1,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
9,3.4,Very awesome as I received as expected. Same as shown in pic. Nice design and good sound quality. Bass is also good. Calling feature is very superb. Voice not interrupted while calling. Overall good product in this price. Please go for it. Must buy😊. Thanks Flipkart😍
10,3.7,"awesome products, battery life is not that great but charge really fast and sound is so great I love these I'm gonna another one for myself."
11,3.9,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
12,4.3,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
