,Rating,Reviews,Ratings
0,3.4 out of 5, Please return this product,3.4
1,3.4 out of 5, Please return this product,3.4
2,3.4 out of 5,"Play Video
 Please return this product",3.4
3,3.4 out of 5, Please return this product,3.4
4,3 out of 5,"We purchase certain items looing at the face value of the brand. I have been completely befooled & have decided never to go in for any Philips product, which was once a brand in sound quality. I asked for its return but was shockingly advice to get it replaced.",3
5,3 out of 5,"We purchase certain items looing at the face value of the brand. I have been completely befooled & have decided never to go in for any Philips product, which was once a brand in sound quality. I asked for its return but was shockingly advice to get it replaced.",3
6,3 out of 5,"We purchase certain items looing at the face value of the brand. I have been completely befooled & have decided never to go in for any Philips product, which was once a brand in sound quality. I asked for its return but was shockingly advice to get it replaced.",3
7,3 out of 5,"We purchase certain items looing at the face value of the brand. I have been completely befooled & have decided never to go in for any Philips product, which was once a brand in sound quality. I asked for its return but was shockingly advice to get it replaced.",3
8,4 out of 5,"ROFL: same product under another nice brand:
Pioneer SBX-101 Wireless Sounbar Black with sub woofer https://www.amazon.in/dp/B07C36RD6H/ref=cm_sw_r_cp_api_i_S1Z4EbSXZ2W8F

before I write something about the quality and value for money of this product, i would be glad if someone can tell me who the makers of this product is. I’m certain that even Samsung (Parent company) won’t let anyOne even see a product Like this.

1. There is nowhere in harman, jbl or infinity websites this model is listed ( india and outside).
2. The url provided in the small leaflet or I should say a “manual” to register your product for warranty, is not genuine and there is no website.
3. This product can only be replaced, no returns. :)

Sound quality: the worst ever high freq response and the speaker makes a tremblIng noise at highs and you can note that even in low volume.
2k desktop 2.1 would sound better than this.

Subwoofer: The 4 -5 inch paper Cone backfiring sub, has a bad finishing Of the novopan sheet at the rear - reminds me about A best local Bookshelf speaker assembler in town.
This sub is better as a stand-alone piece, as the midrange and sub Doesn’t blend well - In short the crossover isn’t working at all.

Do some homework before you shell out even single penny!
You can go for boat, or any brands that are worth (sound, quality n support) for the price and at least listed in their websites.",4
9,4 out of 5,"ROFL: same product under another nice brand:
Pioneer SBX-101 Wireless Sounbar Black with sub woofer https://www.amazon.in/dp/B07C36RD6H/ref=cm_sw_r_cp_api_i_S1Z4EbSXZ2W8F

before I write something about the quality and value for money of this product, i would be glad if someone can tell me who the makers of this product is. I’m certain that even Samsung (Parent company) won’t let anyOne even see a product Like this.

1. There is nowhere in harman, jbl or infinity websites this model is listed ( india and outside).
2. The url provided in the small leaflet or I should say a “manual” to register your product for warranty, is not genuine and there is no website.
3. This product can only be replaced, no returns. :)

Sound quality: the worst ever high freq response and the speaker makes a tremblIng noise at highs and you can note that even in low volume.
2k desktop 2.1 would sound better than this.

Subwoofer: The 4 -5 inch paper Cone backfiring sub, has a bad finishing Of the novopan sheet at the rear - reminds me about A best local Bookshelf speaker assembler in town.
This sub is better as a stand-alone piece, as the midrange and sub Doesn’t blend well - In short the crossover isn’t working at all.

Do some homework before you shell out even single penny!
You can go for boat, or any brands that are worth (sound, quality n support) for the price and at least listed in their websites.",4
10,4 out of 5,"ROFL: same product under another nice brand:
Pioneer SBX-101 Wireless Sounbar Black with sub woofer https://www.amazon.in/dp/B07C36RD6H/ref=cm_sw_r_cp_api_i_S1Z4EbSXZ2W8F

before I write something about the quality and value for money of this product, i would be glad if someone can tell me who the makers of this product is. I’m certain that even Samsung (Parent company) won’t let anyOne even see a product Like this.

1. There is nowhere in harman, jbl or infinity websites this model is listed ( india and outside).
2. The url provided in the small leaflet or I should say a “manual” to register your product for warranty, is not genuine and there is no website.
3. This product can only be replaced, no returns. :)

Sound quality: the worst ever high freq response and the speaker makes a tremblIng noise at highs and you can note that even in low volume.
2k desktop 2.1 would sound better than this.

Subwoofer: The 4 -5 inch paper Cone backfiring sub, has a bad finishing Of the novopan sheet at the rear - reminds me about A best local Bookshelf speaker assembler in town.
This sub is better as a stand-alone piece, as the midrange and sub Doesn’t blend well - In short the crossover isn’t working at all.

Do some homework before you shell out even single penny!
You can go for boat, or any brands that are worth (sound, quality n support) for the price and at least listed in their websites.",4
11,4 out of 5,"ROFL: same product under another nice brand:
Pioneer SBX-101 Wireless Sounbar Black with sub woofer https://www.amazon.in/dp/B07C36RD6H/ref=cm_sw_r_cp_api_i_S1Z4EbSXZ2W8F

before I write something about the quality and value for money of this product, i would be glad if someone can tell me who the makers of this product is. I’m certain that even Samsung (Parent company) won’t let anyOne even see a product Like this.

1. There is nowhere in harman, jbl or infinity websites this model is listed ( india and outside).
2. The url provided in the small leaflet or I should say a “manual” to register your product for warranty, is not genuine and there is no website.
3. This product can only be replaced, no returns. :)

Sound quality: the worst ever high freq response and the speaker makes a tremblIng noise at highs and you can note that even in low volume.
2k desktop 2.1 would sound better than this.

Subwoofer: The 4 -5 inch paper Cone backfiring sub, has a bad finishing Of the novopan sheet at the rear - reminds me about A best local Bookshelf speaker assembler in town.
This sub is better as a stand-alone piece, as the midrange and sub Doesn’t blend well - In short the crossover isn’t working at all.

Do some homework before you shell out even single penny!
You can go for boat, or any brands that are worth (sound, quality n support) for the price and at least listed in their websites.",4
12,3.9 out of 5,"The system is not good, sound and bass both of not good if you buy this so may be waist o Mony don't buy, I'll but this and return in next one hour I don't like it, if you are sound and bass lover so this is not for you",3.9
13,3.9 out of 5,"The system is not good, sound and bass both of not good if you buy this so may be waist o Mony don't buy, I'll but this and return in next one hour I don't like it, if you are sound and bass lover so this is not for you",3.9
