,Rating,Reviews,Ratings
0,4.2 out of 5," Just had the printer installed last night as it was delivered yesterday in the noon. The ink had leaked half and this is a new product.
Kindly have it replaced I had ordered this printer for my work and Now I have to run pillar to post just to have a print.",4.2 
1,4.2 out of 5," Just had the printer installed last night as it was delivered yesterday in the noon. The ink had leaked half and this is a new product.
Kindly have it replaced I had ordered this printer for my work and Now I have to run pillar to post just to have a print.",4.2 
2,4.2 out of 5,"Play Video
 Just had the printer installed last night as it was delivered yesterday in the noon. The ink had leaked half and this is a new product.
Kindly have it replaced I had ordered this printer for my work and Now I have to run pillar to post just to have a print.",4.2 
3,4.2 out of 5," Just had the printer installed last night as it was delivered yesterday in the noon. The ink had leaked half and this is a new product.
Kindly have it replaced I had ordered this printer for my work and Now I have to run pillar to post just to have a print.",4.2 
4,4.1 out of 5,"After using the printer for a few days, here is what I experienced:
Pros:
1. Unboxing and Setup was easy and quick
2. Printing was fairly simple
3. Black print is fast and crisp

Cons:
1. Downloading the driver was a terrible experience. The HP Website was so slow, I could finished my lunch, evening snacks and it was still downloading!
2. Colour print is absolutely worst. Highly pixlated and no sharpness even after selecting best quality in the settings.
3. Printed a picture of my nephew on a photo paper and after 24 hours, it hadn't dried and got smudged when touched and spoilt the whole print.

Conclusion: if you are looking for home printing and if 90% of it is B&W, its an excellent printer. Its good if you wish to print color text too. However, one of the worst printer for color photo printing. I wish I had purchased Epson Ink Tank printer!",4.1 
5,4.1 out of 5,"After using the printer for a few days, here is what I experienced:
Pros:
1. Unboxing and Setup was easy and quick
2. Printing was fairly simple
3. Black print is fast and crisp

Cons:
1. Downloading the driver was a terrible experience. The HP Website was so slow, I could finished my lunch, evening snacks and it was still downloading!
2. Colour print is absolutely worst. Highly pixlated and no sharpness even after selecting best quality in the settings.
3. Printed a picture of my nephew on a photo paper and after 24 hours, it hadn't dried and got smudged when touched and spoilt the whole print.

Conclusion: if you are looking for home printing and if 90% of it is B&W, its an excellent printer. Its good if you wish to print color text too. However, one of the worst printer for color photo printing. I wish I had purchased Epson Ink Tank printer!",4.1 
6,4.1 out of 5,"After using the printer for a few days, here is what I experienced:
Pros:
1. Unboxing and Setup was easy and quick
2. Printing was fairly simple
3. Black print is fast and crisp

Cons:
1. Downloading the driver was a terrible experience. The HP Website was so slow, I could finished my lunch, evening snacks and it was still downloading!
2. Colour print is absolutely worst. Highly pixlated and no sharpness even after selecting best quality in the settings.
3. Printed a picture of my nephew on a photo paper and after 24 hours, it hadn't dried and got smudged when touched and spoilt the whole print.

Conclusion: if you are looking for home printing and if 90% of it is B&W, its an excellent printer. Its good if you wish to print color text too. However, one of the worst printer for color photo printing. I wish I had purchased Epson Ink Tank printer!",4.1 
7,4.1 out of 5,"After using the printer for a few days, here is what I experienced:
Pros:
1. Unboxing and Setup was easy and quick
2. Printing was fairly simple
3. Black print is fast and crisp

Cons:
1. Downloading the driver was a terrible experience. The HP Website was so slow, I could finished my lunch, evening snacks and it was still downloading!
2. Colour print is absolutely worst. Highly pixlated and no sharpness even after selecting best quality in the settings.
3. Printed a picture of my nephew on a photo paper and after 24 hours, it hadn't dried and got smudged when touched and spoilt the whole print.

Conclusion: if you are looking for home printing and if 90% of it is B&W, its an excellent printer. Its good if you wish to print color text too. However, one of the worst printer for color photo printing. I wish I had purchased Epson Ink Tank printer!",4.1 
8,3.7 out of 5,"First day first show👎😡
Very Disappointed
As you see colour where not properly set as picture
Totally worst",3.7 
9,3.7 out of 5,"First day first show👎😡
Very Disappointed
As you see colour where not properly set as picture
Totally worst",3.7 
