,Ratings,Reviews
0,4.2,Best home router in this price point. signal range is pretty good . satisfied with the product.
1,4.3,"This is the best WiFi router in this price range.Its cover my house properly . It connect with my alliance broadband without any problem.so it's a pretty good deal and thanks flipkart for one day delivery.
so I am very happy purchase this router."
2,4.4,"Model- Archer C6(US)
Version- 3.20
Processor- MediaTek7621 Dual Core @880Mhz
RAM- 128MB DDR3

I have 1Gbps Connection. The upload and download speeds are as follows-

Lan-
Download- 980Mbps
Upload-990Mbps

Wi-Fi-

5Ghz(80Mhz width)-

Distance- 0-10mtr with direct line of sight

Download- 550Mbps
Upload- 600 Mbps

Distance- 20Mtr with 1 wall

Download- 400 Mbps
Upload-350Mbps

Distance -30 Mtr with 3 walls

Download- 10Mbps
Upload- 8Mbps


2.4Ghz(40Mhz width)

Distance- 0-10 mtr with Direct ..."
3,4.3,"*********EDIT: Today is 8th March 2015, more than two years and it is still working fine, as it should be. Not a single issue.********
Have an internet connection at home and yet wondering how to connect those wi-fi gadgets to the world wide web?
Well....the solution is here. Just take out the ethernet cable(RJ-45) from your PC, plug it to the 'blue' slot of this little 'value for money' device, and voila...you are done.

Your home will become one of those 'elite' wi-fi hot spots! And neve..."
4,4.1,"The best router...2021, i Really recommended this product.... best choice for faster internet"
5,4.3,This router it seems is a basic gigabit router which can handle multiple devices at home and for home wifi. Speed has definitely increased as i wanted to be sure that my ISP was not bluffing about the advertised speed and my internet plan for which i am paying money.After I set this one up over the older router of the same company and was almost 7 years old (Tp Link 740 wrn 150) the speed has definitely increased almost about 3 times. While 5ghz speed is really good at a shorter distance near...
6,4.2,"Wired connection gives excellent speed. WiFi range is also good, I get upto 200Mbps in the same room. I am using 200Mbps plan from BSNL Fiber. But speed drops if you are in a different room. Price is reasonable for a gigabit router. 2.4Ghz and 5Ghz both options are available in it. You can create separate network for each frequency or create a common network, the router decides the best suited frequency. Another nice function is, you can use it as a Repeater, just change the settings and conn..."
7,4.2,I have bought this product in a hurry since I can get it delivered within a day with flipkart first. There was only 1 in stock and I was just in time in grabbing the opportunity. The range is fabulous and passes through more than 3 doors into my cabin. Am pleasantly surprised at the ease of use of the interface. The dual antenna coverage is really good. I am currently using it with ACT Broadband.
8,4.3,"Product is just awesome and very easy to configure. Working like a charm :)

But .....
1. I felt that range is slightly low.

2. This is not the latest version of TL-WA850RE.. . Flipkart is selling TL-WA850RE V1.26, and it doesn't support ''TP-LINK THETER'' (mob app to controle wifi extender). . . . It would be better if flipkart sells TL-WA850RE v2+"
9,4.2,"It's a good Range Extender however you can't extend your existing 5Ghz wifi from a far off room since 5 GHz signal is practically worse from even the second room. So for eg during setup if you don't select any 5Ghz, then it will use your base 2.4 GHz signal and Extend it onto 5 Ghz and give better speed than 2.4 GHz of this TP Link Extender

So for eg.
For a typical 100 Mbps Network
Base Router Speed :
2.4 GHz - 40 Mbps
5 GHz - 100 Mbps

Connect this Extender to only 2.4 GHz of your base rout..."
10,4.2,nice product ok range nice build in quality. simple to install modern software interface can use as router or extender directly. but lots of time speed automatically slow down in LAN connection and WiFi network disappearance. need to restart router frequently. don't buy it. even my old TP-LINK TL-WR841N working very good as compare to this model. very disappoints from ttp-link.
11,4.1,Very light weight. The range is good enough. Only one thing that it does not support the thetre app by tp-link so you have manage it through a browser. Easy setup and the guest network feature is just amazing. You can also fix a usage time for the guests. Overall the product is good and worth buying. It looks better than the image show by flipkart.
12,4.1,On a 75mbps connection I'm getting 88 mbps speed on 5ghz channel and around 35 mbps on 2.4 ghz channel. The product itself is very easy to install and does a great job. I have a 2 bedroom apartment and the range is pretty good even extending to the balcony.
