,Rating,Reviews,,Ratings
0,4.1 out of 5,"The packaging used by Amazon was really good.
Coming to the packaging of the watch itself, wow, the unboxing experience was comparable to that of APPLE products, really clean.
And coming to the sensors, it has Heart rate and SpO2 sensors along with a 6 axis accelerometer.
1. The Heart rate sensor works fines with a margin of error of 2-3 beats per min.
2. The SpO2 sensor is not a gimmick, it works fine but not 100% accurate, it was of by nearly 2% every time.
** Both the sensors do no work if the watch is not on your hand**
So both are just not for namesake and are functional.
**It doesn't have GPS built-in the only CON at this price.
**The display is pretty good and gets adequately bright.
Coming to the battery charging time, it takes around 1.5hrs for 30-100%.

***Update 1: The battery only lasts for 6 days, when HR set for continuous for every 10min, sleep tracking on and also notifications on for sedentary and calls and exercise tracking for 30 min a day.

Checking SpO2 10 times a day manually and always on for stress measurement.

Lifting the watch up to light the screen for nearly 50 times a day.
I expected it to last for atleast 7 days though(claimed was 9 days).
***UPDATE 2: Using it for nearly 2 weeks now , received a firmware upgrade, and the accuracy of the SpO2 as well as the HR sensor have improved and also the battery life has improved to around 7 days now.

****UPDATE-3( 24th Jan 2021): Using it for almost 3 months now, I guess all the hugs ar fixed, most of the measruu are accurate, but the step counter sometimes registers steps even if I don't walk :P.
Battery life on average 7 days with HR every 10 min and stress measurement on and daily once O2 measurement and sleep tracking.
The band is pretty comfortable, no skin irritation or discomfort.
Received around 6-7 updates till now.

This watch is a good budget choice based on my usage for almost 3 months now.",,4.1 
1,4.1 out of 5,"The packaging used by Amazon was really good.
Coming to the packaging of the watch itself, wow, the unboxing experience was comparable to that of APPLE products, really clean.
And coming to the sensors, it has Heart rate and SpO2 sensors along with a 6 axis accelerometer.
1. The Heart rate sensor works fines with a margin of error of 2-3 beats per min.
2. The SpO2 sensor is not a gimmick, it works fine but not 100% accurate, it was of by nearly 2% every time.
** Both the sensors do no work if the watch is not on your hand**
So both are just not for namesake and are functional.
**It doesn't have GPS built-in the only CON at this price.
**The display is pretty good and gets adequately bright.
Coming to the battery charging time, it takes around 1.5hrs for 30-100%.

***Update 1: The battery only lasts for 6 days, when HR set for continuous for every 10min, sleep tracking on and also notifications on for sedentary and calls and exercise tracking for 30 min a day.

Checking SpO2 10 times a day manually and always on for stress measurement.

Lifting the watch up to light the screen for nearly 50 times a day.
I expected it to last for atleast 7 days though(claimed was 9 days).
***UPDATE 2: Using it for nearly 2 weeks now , received a firmware upgrade, and the accuracy of the SpO2 as well as the HR sensor have improved and also the battery life has improved to around 7 days now.

****UPDATE-3( 24th Jan 2021): Using it for almost 3 months now, I guess all the hugs ar fixed, most of the measruu are accurate, but the step counter sometimes registers steps even if I don't walk :P.
Battery life on average 7 days with HR every 10 min and stress measurement on and daily once O2 measurement and sleep tracking.
The band is pretty comfortable, no skin irritation or discomfort.
Received around 6-7 updates till now.

This watch is a good budget choice based on my usage for almost 3 months now.",,4.1 
2,4.1 out of 5,"The packaging used by Amazon was really good.
Coming to the packaging of the watch itself, wow, the unboxing experience was comparable to that of APPLE products, really clean.
And coming to the sensors, it has Heart rate and SpO2 sensors along with a 6 axis accelerometer.
1. The Heart rate sensor works fines with a margin of error of 2-3 beats per min.
2. The SpO2 sensor is not a gimmick, it works fine but not 100% accurate, it was of by nearly 2% every time.
** Both the sensors do no work if the watch is not on your hand**
So both are just not for namesake and are functional.
**It doesn't have GPS built-in the only CON at this price.
**The display is pretty good and gets adequately bright.
Coming to the battery charging time, it takes around 1.5hrs for 30-100%.

***Update 1: The battery only lasts for 6 days, when HR set for continuous for every 10min, sleep tracking on and also notifications on for sedentary and calls and exercise tracking for 30 min a day.

Checking SpO2 10 times a day manually and always on for stress measurement.

Lifting the watch up to light the screen for nearly 50 times a day.
I expected it to last for atleast 7 days though(claimed was 9 days).
***UPDATE 2: Using it for nearly 2 weeks now , received a firmware upgrade, and the accuracy of the SpO2 as well as the HR sensor have improved and also the battery life has improved to around 7 days now.

****UPDATE-3( 24th Jan 2021): Using it for almost 3 months now, I guess all the hugs ar fixed, most of the measruu are accurate, but the step counter sometimes registers steps even if I don't walk :P.
Battery life on average 7 days with HR every 10 min and stress measurement on and daily once O2 measurement and sleep tracking.
The band is pretty comfortable, no skin irritation or discomfort.
Received around 6-7 updates till now.

This watch is a good budget choice based on my usage for almost 3 months now.",,4.1 
3,4.1 out of 5,"The packaging used by Amazon was really good.
Coming to the packaging of the watch itself, wow, the unboxing experience was comparable to that of APPLE products, really clean.
And coming to the sensors, it has Heart rate and SpO2 sensors along with a 6 axis accelerometer.
1. The Heart rate sensor works fines with a margin of error of 2-3 beats per min.
2. The SpO2 sensor is not a gimmick, it works fine but not 100% accurate, it was of by nearly 2% every time.
** Both the sensors do no work if the watch is not on your hand**
So both are just not for namesake and are functional.
**It doesn't have GPS built-in the only CON at this price.
**The display is pretty good and gets adequately bright.
Coming to the battery charging time, it takes around 1.5hrs for 30-100%.

***Update 1: The battery only lasts for 6 days, when HR set for continuous for every 10min, sleep tracking on and also notifications on for sedentary and calls and exercise tracking for 30 min a day.

Checking SpO2 10 times a day manually and always on for stress measurement.

Lifting the watch up to light the screen for nearly 50 times a day.
I expected it to last for atleast 7 days though(claimed was 9 days).
***UPDATE 2: Using it for nearly 2 weeks now , received a firmware upgrade, and the accuracy of the SpO2 as well as the HR sensor have improved and also the battery life has improved to around 7 days now.

****UPDATE-3( 24th Jan 2021): Using it for almost 3 months now, I guess all the hugs ar fixed, most of the measruu are accurate, but the step counter sometimes registers steps even if I don't walk :P.
Battery life on average 7 days with HR every 10 min and stress measurement on and daily once O2 measurement and sleep tracking.
The band is pretty comfortable, no skin irritation or discomfort.
Received around 6-7 updates till now.

This watch is a good budget choice based on my usage for almost 3 months now.",,4.1 
4,4 out of 5,"If youwant to measure SPO2, BP, TEMP, HR, better to go for related device. Purchase separately. Within 2000 you will get all.
With the remaining money bye a wrist watch.
Atleast you will get actual result.
I planned to do so, but from reviews I started to believe! Please dont trust on accuracy of measurement. Body temp is not included. touches are good. cannot change wall paper, cannot receive call or send msg from it.

when the watch is not in my hand, kept on the bed and not in contact with me, still it is able to measure my heart beat and my spo2. It proves that it is showing random numbers. I dont know how the people gave 5 or 4 stars to this product!
I cannot return as per policy. only replacement is there.
________________________________
Updating after 1 month: stopped showing weather information.",,4 
5,4 out of 5,"If youwant to measure SPO2, BP, TEMP, HR, better to go for related device. Purchase separately. Within 2000 you will get all.
With the remaining money bye a wrist watch.
Atleast you will get actual result.
I planned to do so, but from reviews I started to believe! Please dont trust on accuracy of measurement. Body temp is not included. touches are good. cannot change wall paper, cannot receive call or send msg from it.

when the watch is not in my hand, kept on the bed and not in contact with me, still it is able to measure my heart beat and my spo2. It proves that it is showing random numbers. I dont know how the people gave 5 or 4 stars to this product!
I cannot return as per policy. only replacement is there.
________________________________
Updating after 1 month: stopped showing weather information.",,4 
6,4 out of 5,"If youwant to measure SPO2, BP, TEMP, HR, better to go for related device. Purchase separately. Within 2000 you will get all.
With the remaining money bye a wrist watch.
Atleast you will get actual result.
I planned to do so, but from reviews I started to believe! Please dont trust on accuracy of measurement. Body temp is not included. touches are good. cannot change wall paper, cannot receive call or send msg from it.

when the watch is not in my hand, kept on the bed and not in contact with me, still it is able to measure my heart beat and my spo2. It proves that it is showing random numbers. I dont know how the people gave 5 or 4 stars to this product!
I cannot return as per policy. only replacement is there.
________________________________
Updating after 1 month: stopped showing weather information.",,4 
7,4 out of 5,"If youwant to measure SPO2, BP, TEMP, HR, better to go for related device. Purchase separately. Within 2000 you will get all.
With the remaining money bye a wrist watch.
Atleast you will get actual result.
I planned to do so, but from reviews I started to believe! Please dont trust on accuracy of measurement. Body temp is not included. touches are good. cannot change wall paper, cannot receive call or send msg from it.

when the watch is not in my hand, kept on the bed and not in contact with me, still it is able to measure my heart beat and my spo2. It proves that it is showing random numbers. I dont know how the people gave 5 or 4 stars to this product!
I cannot return as per policy. only replacement is there.
________________________________
Updating after 1 month: stopped showing weather information.",,4 
8,4.2 out of 5,"1.Display clearity is not as expected
2. Battery performance is poor 2Days
3. SPO2, Heart & Step counting is inaccurate.
4.Looks & Build quality is awesome.",,4.2 
9,4.2 out of 5,"1.Display clearity is not as expected
2. Battery performance is poor 2Days
3. SPO2, Heart & Step counting is inaccurate.
4.Looks & Build quality is awesome.",,4.2 
